epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35.4728,0.82197,0.56875,0.96242,0.53749,0.68772,0.5501,0.36245,1.1768,1.3607,1.12503,0.000990365,0.000990365,0.000990365
43,36.2814,0.76259,0.54583,0.93918,0.57458,0.6223,0.57043,0.38029,1.1401,1.30379,1.093,0.000973861,0.000973861,0.000973861
44,37.0851,0.80611,0.55993,0.97613,0.57757,0.70383,0.58725,0.3996,1.17417,1.30154,1.14066,0.000957358,0.000957358,0.000957358
45,37.8817,0.79252,0.55741,0.9525,0.56171,0.68909,0.6215,0.43104,1.22571,1.21675,1.17664,0.000940855,0.000940855,0.000940855
46,38.7789,0.76247,0.53521,0.95174,0.58146,0.72018,0.64433,0.44074,1.18791,1.10658,1.13948,0.000924352,0.000924352,0.000924352
47,39.591,0.77987,0.55548,0.96075,0.51631,0.77734,0.60686,0.41003,1.16091,1.12455,1.11298,0.000907848,0.000907848,0.000907848
48,40.3993,0.76781,0.52248,0.94197,0.48162,0.91667,0.60251,0.40535,1.15676,1.15472,1.10641,0.000891345,0.000891345,0.000891345
49,41.1933,0.78686,0.5447,0.94203,0.55205,0.68448,0.55134,0.37082,1.11586,1.18759,1.06205,0.000874842,0.000874842,0.000874842
50,41.9941,0.75968,0.50242,0.93955,0.53745,0.82361,0.63691,0.43704,1.13081,1.03327,1.07216,0.000858338,0.000858338,0.000858338
51,42.7932,0.77309,0.50702,0.94722,0.53213,0.7681,0.58234,0.39484,1.19781,1.26101,1.0997,0.000841835,0.000841835,0.000841835
52,43.5937,0.73124,0.48898,0.93444,0.51871,0.70278,0.55596,0.36772,1.19548,1.35513,1.14051,0.000825332,0.000825332,0.000825332
53,44.396,0.70809,0.48694,0.92066,0.51873,0.66528,0.50509,0.32401,1.22823,1.50749,1.1977,0.000808828,0.000808828,0.000808828
54,45.2024,0.75997,0.49867,0.94178,0.60389,0.62778,0.54231,0.35443,1.14612,1.36013,1.12802,0.000792325,0.000792325,0.000792325
55,46.0949,0.72687,0.4858,0.93584,0.52327,0.75292,0.54599,0.36135,1.18881,1.41191,1.12362,0.000775822,0.000775822,0.000775822
56,46.9071,0.68607,0.47293,0.91044,0.60711,0.68703,0.61555,0.41906,1.19439,1.23005,1.15311,0.000759318,0.000759318,0.000759318
57,47.711,0.69149,0.4662,0.92945,0.58468,0.72083,0.65078,0.45238,1.14053,1.12869,1.12045,0.000742815,0.000742815,0.000742815
58,48.5814,0.72182,0.47033,0.93274,0.60036,0.7041,0.66832,0.47339,1.10904,1.14349,1.08643,0.000726312,0.000726312,0.000726312
59,49.4456,0.70636,0.44379,0.92905,0.55786,0.81015,0.61362,0.42247,1.15154,1.11072,1.10701,0.000709809,0.000709809,0.000709809
60,50.2578,0.67272,0.44813,0.91522,0.60374,0.73056,0.64112,0.42741,1.19169,1.06747,1.09684,0.000693305,0.000693305,0.000693305
61,51.052,0.69055,0.4175,0.93207,0.70806,0.66066,0.63736,0.43816,1.15713,1.03981,1.08353,0.000676802,0.000676802,0.000676802
62,51.8658,0.66393,0.42807,0.90636,0.61479,0.73226,0.59707,0.42,1.0599,1.19593,1.03517,0.000660299,0.000660299,0.000660299
63,52.6768,0.68045,0.42107,0.90827,0.59953,0.76806,0.63337,0.43146,1.10244,1.07987,1.06412,0.000643795,0.000643795,0.000643795
64,53.5772,0.6874,0.42496,0.91422,0.57354,0.67189,0.57053,0.38914,1.11937,1.31044,1.07035,0.000627292,0.000627292,0.000627292
65,54.3807,0.66457,0.42607,0.91569,0.54304,0.7,0.54382,0.38011,1.07782,1.41991,1.06868,0.000610789,0.000610789,0.000610789
66,55.1932,0.65388,0.43102,0.90109,0.60419,0.66408,0.55655,0.3778,1.11127,1.49858,1.0846,0.000594286,0.000594286,0.000594286
67,55.9988,0.641,0.40623,0.89505,0.56685,0.6625,0.56926,0.38361,1.13648,1.31445,1.10375,0.000577782,0.000577782,0.000577782
68,56.8045,0.7005,0.4468,0.9255,0.60026,0.61365,0.55924,0.37879,1.17045,1.34034,1.07705,0.000561279,0.000561279,0.000561279
69,57.6,0.6718,0.44336,0.90339,0.50884,0.71518,0.55613,0.37583,1.19304,1.34735,1.10165,0.000544776,0.000544776,0.000544776
70,58.3997,0.66521,0.41354,0.89634,0.544,0.84167,0.61324,0.42899,1.21738,1.25753,1.11651,0.000528272,0.000528272,0.000528272
71,59.2095,0.64301,0.40848,0.89611,0.5834,0.83889,0.6634,0.4639,1.19047,1.19946,1.12624,0.000511769,0.000511769,0.000511769
72,60.0168,0.68472,0.42705,0.92598,0.57595,0.73516,0.63529,0.45028,1.13111,1.22794,1.09574,0.000495266,0.000495266,0.000495266
73,60.9051,0.66517,0.41531,0.90202,0.55606,0.89167,0.65167,0.46155,1.12413,1.14571,1.08361,0.000478762,0.000478762,0.000478762
74,61.7098,0.65067,0.41111,0.91644,0.59717,0.82639,0.6675,0.47797,1.13371,1.03041,1.09287,0.000462259,0.000462259,0.000462259
75,62.5751,0.63087,0.39606,0.90045,0.5717,0.82171,0.62297,0.44608,1.12114,1.14331,1.0807,0.000445756,0.000445756,0.000445756
76,63.3875,0.6221,0.39951,0.91112,0.52066,0.72778,0.59803,0.43213,1.09946,1.27005,1.07063,0.000429253,0.000429253,0.000429253
77,64.1909,0.60692,0.38406,0.89354,0.52337,0.71905,0.56414,0.39787,1.08221,1.4025,1.06517,0.000412749,0.000412749,0.000412749
78,65.0026,0.60577,0.37982,0.88467,0.50006,0.66931,0.56734,0.40499,1.07428,1.48668,1.05193,0.000396246,0.000396246,0.000396246
79,65.8149,0.59633,0.37712,0.88412,0.50577,0.63194,0.56148,0.39816,1.10661,1.50582,1.06468,0.000379743,0.000379743,0.000379743
80,66.6341,0.59738,0.37462,0.89126,0.54216,0.65197,0.58537,0.42064,1.11991,1.39451,1.06429,0.000363239,0.000363239,0.000363239
81,67.4323,0.62717,0.36108,0.88744,0.54645,0.65877,0.57773,0.41355,1.11238,1.42538,1.06693,0.000346736,0.000346736,0.000346736
82,68.3317,0.6202,0.36894,0.89049,0.55174,0.69262,0.56433,0.39064,1.12201,1.42148,1.09351,0.000330233,0.000330233,0.000330233
83,69.1357,0.58494,0.35584,0.88009,0.61098,0.65972,0.57709,0.40226,1.09353,1.3448,1.07456,0.000313729,0.000313729,0.000313729
84,69.951,0.59686,0.35386,0.87446,0.59102,0.68332,0.55418,0.38742,1.08816,1.34916,1.08191,0.000297226,0.000297226,0.000297226
85,70.7533,0.5732,0.37555,0.89688,0.62228,0.67803,0.57219,0.39147,1.13541,1.28435,1.13116,0.000280723,0.000280723,0.000280723
86,71.5609,0.58308,0.35339,0.89728,0.62867,0.71903,0.61987,0.44004,1.10826,1.18996,1.07292,0.00026422,0.00026422,0.00026422
87,72.3666,0.55298,0.34157,0.86703,0.61276,0.72142,0.62697,0.43504,1.10006,1.18615,1.05061,0.000247716,0.000247716,0.000247716
88,73.1754,0.55424,0.3358,0.87527,0.63222,0.6625,0.60276,0.42399,1.10931,1.24687,1.05805,0.000231213,0.000231213,0.000231213
89,73.9747,0.54772,0.3276,0.87868,0.65606,0.67868,0.61189,0.42961,1.10574,1.23922,1.05801,0.00021471,0.00021471,0.00021471
90,74.7797,0.56635,0.37089,0.88546,0.67043,0.70067,0.63733,0.44922,1.11523,1.18831,1.05314,0.000198206,0.000198206,0.000198206
91,76.0504,0.61167,0.42194,0.91329,0.718,0.73056,0.70132,0.5162,1.11441,1.04713,1.0532,0.000181703,0.000181703,0.000181703
92,76.9229,0.61633,0.42555,0.90321,0.68914,0.75556,0.69744,0.51239,1.07729,1.07914,1.04536,0.0001652,0.0001652,0.0001652
93,77.7152,0.59622,0.36503,0.89593,0.57608,0.73569,0.64082,0.46635,1.08799,1.13256,1.05352,0.000148696,0.000148696,0.000148696
94,78.5141,0.58098,0.3575,0.88649,0.59099,0.63194,0.60566,0.4423,1.09346,1.18028,1.06052,0.000132193,0.000132193,0.000132193
95,79.3171,0.58168,0.34657,0.88579,0.52567,0.72778,0.60219,0.43907,1.08304,1.18145,1.05361,0.00011569,0.00011569,0.00011569
96,80.1264,0.58074,0.33433,0.87957,0.55674,0.81111,0.62572,0.45399,1.08438,1.14318,1.05538,9.91865e-05,9.91865e-05,9.91865e-05
97,80.9204,0.58419,0.33188,0.89325,0.57914,0.81111,0.63229,0.45577,1.08786,1.12822,1.05889,8.26832e-05,8.26832e-05,8.26832e-05
98,81.7398,0.58895,0.36698,0.91509,0.58386,0.77828,0.60945,0.44402,1.08652,1.17212,1.06008,6.61799e-05,6.61799e-05,6.61799e-05
99,82.6403,0.58405,0.35484,0.91078,0.58333,0.78165,0.60731,0.44349,1.08469,1.18793,1.05881,4.96766e-05,4.96766e-05,4.96766e-05
100,83.4493,0.56153,0.34106,0.88959,0.57499,0.78461,0.62131,0.45325,1.08475,1.17303,1.05769,3.31733e-05,3.31733e-05,3.31733e-05
